country,firearms,per100,military,lawEnf
Comoros,12000,1.5,600,2000
Brunei,6000,1.4,20220,4000
DR Congo,946000,1.2,161100,46000
Tuvalu,100,1.2,,26
Mali,206000,1.1,15800,3000
Tunisia,123000,1.1,68020,73000
Palestine,56000,1.1,44410,33000
Chad,151000,1,25020,34000
Guinea,130000,1,23080,13000
Papua New Guinea,79000,1,7200,4800
Burkina Faso,175000,0.9,43780,43000
Zambia,158000,0.9,41040,16000
Tanzania,427000,0.8,190050,37000
Uganda,331000,0.8,116660,54000
Togo,58000,0.8,12850,5000
Bhutan,6000,0.8,15200,4000
Kiribati,900,0.8,,200
British Virgin Islands,300,0.8,,500
Malaysia,217000,0.7,428170,102000
Madagascar,168000,0.7,25320,20000
Micronesia,700,0.7,,200
American Samoa,400,0.7,,90
Niger,117000,0.5,11110,10000
Rwanda,66000,0.5,66500,14000
Sierra Leone,35000,0.5,10200,12000
Fiji,5000,0.5,16700,2000
Marshall Islands,300,0.5,,80
Palau,100,0.5,,30
Bangladesh,659000,0.4,410305,333000
Ethiopia,377000,0.4,525600,79000
Uzbekistan,127000,0.4,268400,150000
Tajikistan,37000,0.4,56490,9000
Turkmenistan,23000,0.4,184700,27000
Eritrea,23000,0.4,668550,12000
Japan,377000,0.3,745514,252000
North Korea,76000,0.3,8363100,76000
Malawi,47000,0.3,24480,8400
Benin,33000,0.3,8700,26000
Singapore,20000,0.3,574140,9000
Timor-Leste,3000,0.3,2527,4000
South Korea,79000,0.2,2688020,115000
Solomon Islands,1000,0.2,,70
Indonesia,82000,0,1711450,429000
Taiwan,10000,0,2022150,76000
